Global_Energy_Scenario_Modeling_Data,,,,,,,,,
Global_Energy_Scenario_Modeling_Data,,,,,,,,,
Region,Scenario,Variable,Year,scengroup,IMACLIM,IMAGE,WITCH,maxwacc,minwacc
Transition countries,CoC-reference,Onshore,2020,NDC,0.087348147,0.089386672,0.089007476,0.089386672,0.087348147
Transition countries,CoC-reference,Onshore,2025,NDC,0.083873878,0.087588935,0.085189384,0.087588935,0.083873878
Transition countries,CoC-reference,Onshore,2030,NDC,0.081114631,0.086610565,0.085171293,0.086610565,0.081114631
Transition countries,CoC-reference,Onshore,2035,NDC,0.079095487,0.085954868,0.085155884,0.085954868,0.079095487
Transition countries,CoC-reference,Onshore,2040,NDC,0.077630669,0.085302764,0.084856272,0.085302764,0.077630669
Transition countries,CoC-reference,Onshore,2045,NDC,0.076299395,0.084164687,0.083984677,0.084164687,0.076299395
Transition countries,CoC-reference,Onshore,2050,NDC,0.0750772,0.080031529,0.083185401,0.083185401,0.0750772
Transition countries,CoC-reference,Onshore,2055,NDC,0.074035088,0.075854497,0.082482236,0.082482236,0.074035088
Transition countries,CoC-reference,Onshore,2060,NDC,0.073176213,0.074150527,0.081855432,0.081855432,0.073176213
Transition countries,CoC-reference,Onshore,2065,NDC,0.072399572,0.073727785,0.081290825,0.081290825,0.072399572
Transition countries,CoC-reference,Onshore,2070,NDC,0.071691394,0.072851459,0.080778033,0.080778033,0.071691394
Transition countries,CoC-reference,Onshore,2075,NDC,0.071023217,0.071082099,0.080308383,0.080308383,0.071023217
Transition countries,CoC-reference,Onshore,2080,NDC,0.070409814,0.070108612,0.079875624,0.079875624,0.070108612
Transition countries,CoC-reference,Onshore,2085,NDC,0.069852948,0.06930465,0.079474766,0.079474766,0.06930465
Transition countries,CoC-reference,Onshore,2090,NDC,0.069328316,0.068531588,0.079101597,0.079101597,0.068531588
Transition countries,CoC-reference,Onshore,2095,NDC,0.068833683,0.067846721,0.078752755,0.078752755,0.067846721
